# from	to
Are you sure you want to restore the default pane and tab layout? This will reset all pane and tab layouts to their default values. This action cannot be undone.	确定要恢复默认窗格和标签页布局吗？这会将所有窗格和标签页布局重置为默认值。此操作无法撤销。
Are you sure you want to terminate R?	确定要终止 R 吗？
Changes to the selected file will be lost, including staged changes.\\n\\nAre you sure you want to continue?	所选文件的更改将丢失，包括已暂存更改。\\n\\n确定要继续吗？
Changes to the selected file will be reverted.\\n\\nAre you sure you want to continue?	所选文件的更改将被还原。\\n\\n确定要继续吗？
Changes to the selected files will be lost, including staged changes.\\n\\nAre you sure you want to continue?	所选文件的更改将丢失，包括已暂存更改。\\n\\n确定要继续吗？
Changes to the selected files will be reverted.\\n\\nAre you sure you want to continue?	所选文件的更改将被还原。\\n\\n确定要继续吗？
No Active Project	没有活动项目
No Changes to File	文件没有更改
No Changes to Revert	没有可还原的更改
No code assistant is currently active. Select an assistant above to enable code suggestions and other AI-powered features.	当前没有启用代码助手。请在上方选择助手以启用代码建议和其他 AI 能力。
No Conflicts Detected	未检测到冲突
No Content Specified	未指定内容
No Deployments Found	未找到部署
No document tabs open	没有打开的文档标签页
No environment variables are currently available.	当前没有可用环境变量。
No Files Selected	未选择文件
No history entries currently selected.	当前未选择历史条目。
No Items Selected	未选择项目
No LaTeX installation detected. Please install LaTeX before compiling.	未检测到 LaTeX 安装。请先安装 LaTeX 再编译。
No more occurrences.	没有更多匹配项。
No outline available	没有可用大纲
No Parameters Defined	未定义参数
No Running Deployments Found	未找到正在运行的部署
No Selection Made	未做选择
No Update Available	没有可用更新
No unused packages were found in the library.	库中未找到未使用的包。
Open a new R session	打开新的 R 会话
Open a project	打开项目
Open an existing file	打开已有文件
Open an existing file in a new column	在新列中打开已有文件
Open document outline by default	默认打开文档大纲
Open Each File in New Columns	在新列中打开每个文件
Open in Editor	在编辑器中打开
Open Link (Ctrl+Click)	打开链接（Ctrl+单击）
Open Markdown Quick Reference	打开 Markdown 快速参考
Open New Terminal Here	在此处打开新终端
Open Page with Web Browser	用浏览器打开页面
Open Project with New R Session	用新 R 会话打开项目
Open recent files	打开最近文件
Open selected file(s)	打开所选文件
Open Selected in Source Pane	在源代码窗格中打开所选项
Open Source Component	打开源组件
Remove Completed Background Jobs	删除已完成后台任务
Remove Connection	删除连接
Remove connection from the connection history	从连接历史中删除连接
Remove Connection...	删除连接...
Remove Current Plot...	删除当前绘图...
Remove current viewer item	删除当前查看器项目
Remove duplicate entries in history	删除历史中的重复条目
Remove duplicates from console history	删除控制台历史中的重复项
Remove Files or Folders	删除文件或文件夹
Remove Inline Chunk Output	删除内联代码块输出
Remove jobs	删除任务
Remove Output	删除输出
Remove package	删除包
Remove Packages	删除包
Remove the current plot	删除当前绘图
Remove the selected history entries	删除所选历史条目
Remove Theme	删除主题
Restart Posit Assistant	重启 Posit Assistant
Restart R Session	重启 R 会话
Restart R Session and Clear Chunk Output	重启 R 会话并清空代码块输出
Restart R Session and Run All Chunks	重启 R 会话并运行所有代码块
Restart Required	需要重启
Restarting R...	正在重启 R...
Restarting RStudio	正在重启 RStudio
Run .Rprofile on resume	恢复时运行 .Rprofile
Run a background local job	运行本地后台任务
Run a job on a cluster	在集群上运行任务
What's New	新增功能
RStudio Community Forum	RStudio 社区论坛
Cheat Sheets	速查表
Rainbow Parentheses	彩虹括号
Rainbow Fenced Divs	彩虹围栏 Div
Source File...	执行源文件...
Open Help in Browser	在浏览器中打开帮助
Community Forum	社区论坛
Browse package	浏览包
Browse package on CRAN	在 CRAN 浏览包
Expand	展开
Collapse All	全部折叠
Expand All	全部展开
Fold	折叠
Unfold	展开
Actual Size	实际大小
Actual _Size	实际大小
Zoom Out	缩小
Zoom _Out	缩小
Toggle Full Screen	切换全屏
Toggle _Full Screen	切换全屏
Show/Hide Sidebar	显示/隐藏侧边栏
Show/Hide Sideb_ar	显示/隐藏侧边栏
Hide Toolbar	隐藏工具栏
Show Toolbar	显示工具栏
Switch to Tab...	切换到标签页...
Switch to Ta_b...	切换到标签页...
Open First Tab	打开第一个标签页
First Tab	第一个标签页
_First Tab	第一个标签页
Open Last Tab	打开最后一个标签页
Last Tab	最后一个标签页
_Last Tab	最后一个标签页
Open Next Tab	打开下一个标签页
Open Previous Tab	打开上一个标签页
Next Tab	下一个标签页
Previous Tab	上一个标签页
Move Focus to Source	将焦点移到源代码
Move Focus to Sou_rce	将焦点移到源代码
Move Focus to Console	将焦点移到控制台
Move Focus to _Console	将焦点移到控制台
Move Focus to Console Panel	将焦点移到控制台面板
Move Focus to _Console Panel	将焦点移到控制台面板
Move Focus to Help	将焦点移到帮助
Move Focus to Files	将焦点移到文件
Move Focus to Plots	将焦点移到绘图
Move Focus to Terminal	将焦点移到终端
Move Focus to Source Column	将焦点移到源代码列
Focus Console Output	聚焦控制台输出
_Focus Console Output	聚焦控制台输出
Focus Next Pane	聚焦下一个窗格
Focus Previous Pane	聚焦上一个窗格
Show History	显示历史
Show Files	显示文件
Show Plots	显示绘图
Show Packages	显示包
Show Help	显示帮助
Show Viewer	显示查看器
Show Source Cpp Pane	显示 Source Cpp 窗格
Show Sou_rce Cpp	显示 Source Cpp
Show Tutorial Pane	显示教程窗格
Show Current Memory Usage	显示当前内存用量
_Show Current Memory Usage	显示当前内存用量
Toggle Memory Usage Display in Environment Pane	切换环境窗格内存用量显示
Free Unused R Memory	释放未使用的 R 内存
_Free Unused R Memory	释放未使用的 R 内存
Memory Usage	内存用量
Memory Usage Report	内存用量报告
Memory Usage Report...	内存用量报告...
Execute Next Line	执行下一行
E_xecute Next Line	执行下一行
Step Into Function	步入函数
Step _Into Function	步入函数
Step into the current function call	步入当前函数调用
Exit debug mode	退出调试模式
Debugging Help	调试帮助
Profiling Help	性能分析帮助
Message Only	仅显示消息
_Message Only	仅显示消息
Print the error message when an unhandled error occurs	发生未处理错误时打印错误消息
Show the error inspector when an unhandled error occurs	发生未处理错误时显示错误检查器
Toggle Rainbow Fenced Divs Mode	切换彩虹围栏 Div 模式
Toggle Rainbow Parentheses Mode	切换彩虹括号模式
Switch markdown editing mode	切换 Markdown 编辑模式
RStudio IDE Cheat Sheet	RStudio IDE 速查表
Data Transformation with dplyr	用 dplyr 做数据转换
Data Visualization with ggplot2	用 ggplot2 做数据可视化
List manipulation with purrr	用 purrr 处理列表
Package Development with devtools	用 devtools 开发包
Web Applications with shiny	用 shiny 开发 Web 应用
Interfacing Spark with sparklyr	用 sparklyr 连接 Spark
R Markdown Cheat Sheet	R Markdown 速查表
R Markdown Reference Guide	R Markdown 参考指南
Browse Cheat Sheets...	浏览速查表...
_Browse Cheat Sheets...	浏览速查表...
Browse available cheat sheets in your web browser	在浏览器中查看可用速查表
Open RStudio IDE Cheat Sheet	打开 RStudio IDE 速查表
Open Data Visualization Cheat Sheet	打开数据可视化速查表
Open Data Import Cheat Sheet	打开数据导入速查表
Open Package Development Cheat Sheet	打开包开发速查表
Open Data Wrangling Cheat Sheet	打开数据整理速查表
Open Data Transformation Cheat Sheet	打开数据转换速查表
Open R Markdown Cheat Sheet	打开 R Markdown 速查表
Open R Markdown Reference Guide	打开 R Markdown 参考指南
Open Shiny Cheat Sheet	打开 Shiny 速查表
Open Sparklyr Cheat Sheet	打开 Sparklyr 速查表
Open Purrr Cheat Sheet	打开 Purrr 速查表
RStudio Docs	RStudio 文档
RStudio Documentation	RStudio 文档
RStudio IDE Documentation	RStudio IDE 文档
Support Posit	Posit 支持
_Support Posit	Posit 支持
Terminal Diagnostics	终端诊断
Terminal Dia_gnostics	终端诊断
Diagnostic du terminal	终端诊断
_Diagnostic du terminal...	终端诊断...
Open New Terminal at File Location	在文件位置打开新终端
_Open New Terminal at File Location	在文件位置打开新终端
Request Log	请求日志
_Request Log	请求日志
Dump Editor Contents	转储编辑器内容
_Dump Editor Contents...	转储编辑器内容...
Import Editor Contents	导入编辑器内容
Collapse Fold	折叠当前代码块
Collapse All Folds	折叠所有代码块
Expand Fold	展开当前代码块
Expand All Folds	展开所有代码块
Code Completion	代码补全
Compile PDF	编译 PDF
Copy Lines Down	向下复制行
Disconnect	断开连接
Enable Prosemirror DevTools	启用 Prosemirror 开发工具
Search in Build Pane	在构建窗格中搜索
Show R Help	显示 R 帮助
Show in new window	在新窗口中显示
Insert Assignment Operator	插入赋值运算符
Insert Pipe Operator	插入管道运算符
Join Lines	合并行
Jump to Matching Bracket	跳转到匹配括号
Zoom Posit Assistant	放大 Posit Assistant
Zoom Pos_it Assistant	放大 Posit Assistant
Test	测试
Toggle Visual Markdown Editor	切换可视化 Markdown 编辑器
Go forward	前进
View a larger version in a new window	在新窗口中查看大图
Uninstall Posit Assistant	卸载 Posit Assistant
Revert Changes	还原更改
Go to to the definition of the currently selected function	转到当前所选函数的定义
Go to the definition of the currently selected function	转到当前所选函数的定义
Find Usages	查找用法
Find _Usages	查找用法
Run all chunks below the current one	运行当前代码块下方的所有代码块
Run All C_hunks Below	运行下方所有代码块
Execute Code up to Current Line	执行到当前行
Run From _Beginning To Line	从开头运行到当前行
Run from the beginning of the source file up through the current line	从源文件开头运行到当前行
Run _Setup Chunk	运行 Setup 代码块
Run Document	运行文档
Run _Document	运行文档
Run Function Definition	运行函数定义
Run _Function Definition	运行函数定义
Run Line(s) without moving cursor	运行行但不移动光标
Run _Line(s) without moving cursor	运行行但不移动光标
Run Next Chunk	运行下一个代码块
Run _Next Chunk	运行下一个代码块
Source Active File	执行当前文件
Source Active File with Echo	执行当前文件并回显
Source as Local Job	作为本地任务执行
Source as Workbench Job	作为 Workbench 任务执行
Open Source Component	打开源组件
Open Source Components	打开源组件
Open Source File	打开源文件
Print Source Document	打印源文档
Save Source Document	保存源文档
Save Source Document As	源文档另存为
Rename Source Document	重命名源文档
Close Source Document	关闭源文档
Close Other Source Documents	关闭其他源文档
Close All Source Documents	关闭所有源文档
Copy Source Document Path	复制源文档路径
Open Next File on Filesystem	打开文件系统中的下一个文件
Open Previous File on Filesystem	打开文件系统中的上一个文件
Open Each File in Columns	在列中分别打开每个文件
Open Files in Single Pane	在单一窗格打开文件
Set Working Directory to Files Pane Location	将工作目录设为文件窗格位置
Set Working Directory to Project Directory	将工作目录设为项目目录
Set Working Directory to Source File Location	将工作目录设为源文件位置
Clear Recent Files	清空最近文件
Clear Recent Projects	清空最近项目
Open Shared Project	打开共享项目
Open Project in New Window	在新窗口中打开项目
Share Project	共享项目
New Source Column	新建源代码列
Maximize Source	最大化源代码
Zoom Current Pane	放大当前窗格
End Zoom	结束放大
Zoom Left Column	放大左列
Zoom Right Column	放大右列
Zoom Sidebar	放大侧边栏
Adjust Left Splitter	调整左侧分隔条
A_djust Left Splitter	调整左侧分隔条
Adjust Right Splitter	调整右侧分隔条
Ad_just Right Splitter	调整右侧分隔条
Adjust Center Splitter	调整中间分隔条
Adjust Center S_plitter	调整中间分隔条
Adjust Source Column Splitter	调整源代码列分隔条
Adjust Source Column Spli_tter	调整源代码列分隔条
Adjust Sidebar Splitter	调整侧边栏分隔条
Adjust _Sidebar Splitter	调整侧边栏分隔条
Move Sidebar Location Left/Right	左右移动侧边栏位置
Move Sidebar Left/Right	左右移动侧边栏
Tab Key Always Moves Focus	Tab 键总是移动焦点
_Tab Key Always Moves Focus	Tab 键总是移动焦点
Focus Main Toolbar	聚焦主工具栏
Show Shortcut Command	显示快捷命令
Show DOM Elements	显示 DOM 元素
_Show DOM Elements	显示 DOM 元素
Toggle Editor Token Information	切换编辑器 Token 信息
_Toggle Editor Token Information	切换编辑器 Token 信息
Prosemirror DevTools	Prosemirror 开发工具
_Prosemirror DevTools	Prosemirror 开发工具
To Console	发送到控制台
Send the selected commands to the R console (Enter)	将所选命令发送到 R 控制台（Enter）
Send Command to Console	发送命令到控制台
Send to _Console	发送到控制台
To Source	插入到源代码
Insert the selected commands into the current document (Shift+Enter)	将所选命令插入当前文档（Shift+Enter）
Insert Command into Document	插入命令到文档
Insert into _Source	插入到源代码
Show In Context	在上下文中显示
New Connection	新建连接
New Connection...	新建连接...
Create a new connection	创建新连接
How to create new connections to data sources.	如何创建到数据源的新连接。
Show Connections Pane	显示连接窗格
Show Co_nnections	显示连接
Find in Topic	在主题中查找
Find next (Enter)	查找下一个（Enter）
Find previous	查找上一个
Search help	搜索帮助
Help Tab	帮助标签页
Help Tab Second	帮助标签页第二项
Error installing learnr	安装 learnr 出错
RStudio was unable to install the learnr package.	RStudio 无法安装 learnr 包。
Error Loading Tutorial	加载教程出错
Tutorial Pane	教程窗格
Tutorial Tab	教程标签页
Start Tutorial	开始教程
[Untitled tutorial]	[未命名教程]
[No description available.]	[没有可用说明。]
Please wait while RStudio finishes indexing available tutorials...	请稍候，RStudio 正在完成可用教程索引...
Loading tutorial...	正在加载教程...
